match_id,team,score,detailed_score
ODI no. 3651,Pakistan,375/3,"375/3 (50 Overs, RR: 7.5)"
ODI no. 3651,Zimbabwe,334/5 ,"334/5 (50 Overs, RR: 6.68)"
ODI no. 3652,Zimbabwe,268/7,"268/7 (50 Overs, RR: 5.36)"
ODI no. 3652,Pakistan,269/4 ,"269/4 (47.2 Overs, RR: 5.68)"
ODI no. 3653,Pakistan,296/9,"296/9 (50 Overs, RR: 5.92)"
ODI no. 3653,Zimbabwe,68/0 ,"68/0 (9 Overs, RR: 7.55)"
ODI no. 3662,India,255/6,"255/6 (50 Overs, RR: 5.1)"
ODI no. 3662,Zimbabwe,251/7 ,"251/7 (50 Overs, RR: 5.02)"
ODI no. 3665,India,271/8,"271/8 (50 Overs, RR: 5.42)"
ODI no. 3665,Zimbabwe,209 ,"209 all out (49 Overs, RR: 4.26)"
ODI no. 3667,India,276/5,"276/5 (50 Overs, RR: 5.52)"
ODI no. 3667,Zimbabwe,193 ,"193 all out (42.4 Overs, RR: 4.52)"
ODI no. 3673,New Zealand,303/4,"303/4 (50 Overs, RR: 6.06)"
ODI no. 3673,Zimbabwe,304/3 ,"304/3 (49 Overs, RR: 6.2)"
ODI no. 3674,Zimbabwe,235/9,"235/9 (50 Overs, RR: 4.7)"
ODI no. 3674,New Zealand,236/0 ,"236/0 (42.2 Overs, RR: 5.57)"
ODI no. 3675,New Zealand,273/6,"273/6 (50 Overs, RR: 5.46)"
ODI no. 3675,Zimbabwe,235 ,"235 all out (47.4 Overs, RR: 4.93)"
ODI no. 3679,Australia,222/6,"222/6 (40.2 Overs, RR: 5.5)"
ODI no. 3679,Ireland,157 ,"157 all out (23.4 Overs, RR: 6.63)"
ODI no. 3685,Pakistan,259/6,"259/6 (50 Overs, RR: 5.18)"
ODI no. 3685,Zimbabwe,128 ,"128 all out (37 Overs, RR: 3.45)"
ODI no. 3686,Zimbabwe,276/6,"276/6 (50 Overs, RR: 5.52)"
ODI no. 3686,Pakistan,256/8 ,"256/8 (48 Overs, RR: 5.33)"
ODI no. 3687,Zimbabwe,161,"161 all out (38.5 Overs, RR: 4.14)"
ODI no. 3687,Pakistan,162/3 ,"162/3 (34 Overs, RR: 4.76)"
ODI no. 3693,Afghanistan,122,"122 all out (34.1 Overs, RR: 3.57)"
ODI no. 3693,Zimbabwe,126/2 ,"126/2 (23.2 Overs, RR: 5.4)"
ODI no. 3694,Afghanistan,271/6,"271/6 (50 Overs, RR: 5.42)"
ODI no. 3694,Zimbabwe,213 ,"213 all out (46.4 Overs, RR: 4.56)"
ODI no. 3696,Afghanistan,223/8,"223/8 (50 Overs, RR: 4.46)"
ODI no. 3696,Zimbabwe,229/4 ,"229/4 (49.4 Overs, RR: 4.61)"
ODI no. 3697,Zimbabwe,184/8,"184/8 (50 Overs, RR: 3.68)"
ODI no. 3697,Afghanistan,185/7 ,"185/7 (46.4 Overs, RR: 3.96)"
ODI no. 3699,Afghanistan,245/9,"245/9 (50 Overs, RR: 4.9)"
ODI no. 3699,Zimbabwe,172 ,"172 all out (44.1 Overs, RR: 3.89)"
ODI no. 3703,Bangladesh,273/9,"273/9 (50 Overs, RR: 5.46)"
ODI no. 3703,Zimbabwe,128 ,"128 all out (36.1 Overs, RR: 3.53)"
ODI no. 3705,Bangladesh,241/9,"241/9 (50 Overs, RR: 4.82)"
ODI no. 3705,Zimbabwe,183 ,"183 all out (43.2 Overs, RR: 4.22)"
