match_id,start_date,team1,team2,ground,result
3654,2015-06-09,Newzealad,England,Birmingham,England
3655,2015-06-12,Newzealad,England,The Oval,Newzealad
3656,2015-06-14,Newzealad,England,Southampton,Newzealad
3657,2015-06-17,Newzealad,England,Nottingham,England
3658,2015-06-18,India,Bangladesh,Dhaka,Bangladesh
3659,2015-06-20,Newzealad,England,Chester-le-Street,England
3660,2015-06-21,India,Bangladesh,Dhaka,Bangladesh
3661,2015-06-24,India,Bangladesh,Dhaka,India
3662,2015-07-10,India,Zimbabwe,Harare,India
3663,2015-07-10,SouthAfrica,Bangladesh,Dhaka,SouthAfrica
3664,2015-07-11,SriLanka,Pakistan,Dambulla,Pakistan
3665,2015-07-12,India,Zimbabwe,Harare,India
3666,2015-07-12,SouthAfrica,Bangladesh,Dhaka,Bangladesh
3667,2015-07-14,India,Zimbabwe,Harare,India
3668,2015-07-15,SouthAfrica,Bangladesh,Chattogram,Bangladesh
3669,2015-07-15,SriLanka,Pakistan,Pallekele,SriLanka
3670,2015-07-19,SriLanka,Pakistan,Colombo (RPS),Pakistan
3671,2015-07-22,SriLanka,Pakistan,Colombo (RPS),Pakistan
3672,2015-07-26,SriLanka,Pakistan,Hambantota,SriLanka
3673,2015-08-02,Newzealad,Zimbabwe,Harare,Zimbabwe
3674,2015-08-04,Newzealad,Zimbabwe,Harare,Newzealad
3675,2015-08-07,Newzealad,Zimbabwe,Harare,Newzealad
3676,2015-08-19,SouthAfrica,New Zealand,Centurion,SouthAfrica
3677,2015-08-23,SouthAfrica,New Zealand,Potchefstroom,New Zealand
3678,2015-08-26,SouthAfrica,New Zealand,Durban,SouthAfrica
3679,2015-08-27,Australia,Ireland,Belfast,Australia
3680,2015-09-03,England,Australia,Southampton,Australia
3681,2015-09-05,England,Australia,Lord's,Australia
3682,2015-09-08,England,Australia,Manchester,England
3683,2015-09-11,England,Australia,Leeds,England
3684,2015-09-13,England,Australia,Manchester,Australia
3685,2015-10-01,Pakistan,Zimbabwe,Harare,Pakistan
3686,2015-10-03,Pakistan,Zimbabwe,Harare,Zimbabwe
3687,2015-10-05,Pakistan,Zimbabwe,Harare,Pakistan
3689,2015-10-11,SouthAfrica,India,Kanpur,SouthAfrica
3692,2015-10-14,SouthAfrica,India,Indore,India
3693,2015-10-16,Afghanistan,Zimbabwe,Bulawayo,Zimbabwe
3694,2015-10-18,Afghanistan,Zimbabwe,Bulawayo,Afghanistan
3695,2015-10-18,SouthAfrica,India,Rajkot,SouthAfrica
3696,2015-10-20,Afghanistan,Zimbabwe,Bulawayo,Zimbabwe
3697,2015-10-22,Afghanistan,Zimbabwe,Bulawayo,Afghanistan
3698,2015-10-22,SouthAfrica,India,Chennai,India
3699,2015-10-24,Afghanistan,Zimbabwe,Bulawayo,Afghanistan
3700,2015-10-25,SouthAfrica,India,Mumbai,SouthAfrica
3701,2015-11-01,WestIndies,Sri Lanka,Colombo (RPS),Sri Lanka
3702,2015-11-04,WestIndies,Sri Lanka,Colombo (RPS),Sri Lanka
3703,2015-11-07,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3704,2015-11-07,WestIndies,Sri Lanka,Pallekele,Sri Lanka
3705,2015-11-09,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3706,2015-11-11,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3707,2015-11-11,Pakistan,England,Abu Dhabi,Pakistan
3708,2015-11-13,Pakistan,England,Abu Dhabi,England
3710,2015-11-17,Pakistan,England,Sharjah,England
3712,2015-11-20,Pakistan,England,Dubai (DSC),England
3713,2015-12-25,Afghanistan,Zimbabwe,Sharjah,Afghanistan
3714,2015-12-26,SriLanka,New Zealand,Christchurch,New Zealand
3715,2015-12-28,SriLanka,New Zealand,Christchurch,New Zealand
3716,2015-12-29,Afghanistan,Zimbabwe,Sharjah,Afghanistan
3717,2015-12-31,SriLanka,New Zealand,Nelson,SriLanka
3718,2016-01-02,SriLanka,New Zealand,Nelson,n/r
3719,2016-01-02,Afghanistan,Zimbabwe,Sharjah,Zimbabwe
3720,2016-01-04,Afghanistan,Zimbabwe,Sharjah,Zimbabwe
3721,2016-01-05,SriLanka,New Zealand,Mount Maunganui,New Zealand
3722,2016-01-06,Afghanistan,Zimbabwe,Sharjah,Afghanistan
3723,2016-01-12,India,Australia,Perth,Australia
3724,2016-01-15,India,Australia,Brisbane,Australia
3725,2016-01-17,India,Australia,Melbourne,Australia
3726,2016-01-20,India,Australia,Canberra,Australia
3727,2016-01-23,India,Australia,Sydney,India
3728,2016-01-25,Pakistan,New Zealand,Wellington,New Zealand
3729,2016-01-28,Pakistan,New Zealand,Napier,n/r
3730,2016-01-31,Pakistan,New Zealand,Auckland,New Zealand
3731,2016-02-03,Newzealad,Australia,Auckland,Newzealad
3732,2016-02-03,SouthAfrica,England,Bloemfontein,England
3733,2016-02-06,Newzealad,Australia,Wellington,Australia
3734,2016-02-06,SouthAfrica,England,Port Elizabeth,England
3735,2016-02-08,Newzealad,Australia,Hamilton,Newzealad
